"","COS7OA_3","COS7OA_2","COS7OA_1","COSOADGAT1i_3","COSOADGAT1i_2","COSOADGAT1i_1"
"Cer(t18:0_22:1)",23700000,15200000,13700000,19500000,37700000,17900000
"Cer(t18:1_22:0)",11400000,6431649.029,6600135.51,6487858.223,6715736.095,5855694.881
"Cer(t18:1_22:0+O)",777378.357,2643238.998,3220149.132,533500.548,21400000,2933923.056
"Cer(t18:0_24:0+O)",16500000,77600000,20100000,10500000,4.02e+08,84400000
"Cer(t18:1_24:0+O)",5733175.371,24400000,2028340.952,2476901.262,1.65e+08,27800000
"Cer(t18:0_26:0+O)",9462422.583,23400000,11400000,7891713.026,71900000,29300000
"Cer(t20:1_24:1)",35800000,23200000,16200000,1.1e+07,5115545.672,10500000
"ChE(20:4)",36900000,26500000,26900000,14900000,13900000,11200000
"ChE(20:5)",17300000,1.3e+07,14900000,8133489.237,12400000,6674257.593
"ChE(22:5)",28900000,18100000,20500000,12300000,13100000,10900000
"ChE(22:6)",62100000,53600000,50300000,50800000,6.4e+07,44700000
"Co(Q9)",7763191.502,7740964.1,3696785.417,7327420.681,42400000,8113199.091
"DG(16:0_16:0)",24900000,15300000,77900000,16400000,4.4e+07,23500000
"DG(16:0_16:1)",5867782.28,3392156.586,3.6e+07,5715761.864,22400000,6030497.518
"DG(16:1_18:1)",8093098.059,5504316.843,75900000,2490443.095,816998.6325,16100000
"DG(16:0_18:3)",274563.155,107778.99,583379.08,733339.471,14400000,656436.94
"DG(18:0_18:2)",2.3e+07,19100000,2310958.41,862911.105,5.35e+08,16900000
"DG(18:0_18:3)",5213309.928,4256243.41,4730171.271,5907491.022,26400000,4886584.615
"DG(16:0_20:4)",5683238.306,3195337.632,5070231.621,5590415.019,1.5e+07,5113451.588
"DG(36:4e)",0.0054,0.095,0.0054,0.0054,25400000,0.027
"DG(18:3_18:2)",408530.802,1058119.726,159734.623,205797.596,38800000,550378.959
"DG(36:5e)",18215.415,1547.66598,7738.3299,1547.66598,26400000,1547.66598
"DG(18:0_20:0)",27700000,5385974.059,11600000,7101687.313,6976817.091,10300000
"DG(20:0_18:1)",10600000,6154783.18,14200000,9355165.462,19700000,8939221.925
"DG(20:1_18:1)",1.92e+08,1.24e+08,95800000,2.3e+08,3.73e+08,2.38e+08
"DG(20:0_18:2)",1475882.193,1055180.737,1075501.187,3359288.362,35700000,2860277.169
"DG(20:1_18:2)",20900000,12800000,10900000,23300000,85900000,25500000
"DG(18:0_20:3)",19100000,15600000,16100000,7631948.764,13300000,8439647.247
"DG(18:1_20:3)",2e+07,16300000,17800000,47200000,1.41e+08,43600000
"DG(18:0_20:4)",1.42e+08,1.01e+08,1.01e+08,50600000,1.46e+08,54900000
"DG(18:1_20:5)",2130477.095,2297331.779,2671686.918,8655806.536,25500000,6749848.701
"DG(18:1_22:1)",47200000,30500000,26800000,67800000,1.1e+08,71300000
"DG(22:0_18:2)",433.926,2169.63,433.926,559515.0609,2778175.768,169016.2935
"DG(18:1_22:3)",2348102.26,1423487.142,1755549.247,11200000,29400000,11200000
"DG(18:0_22:4)",6591451.145,4111517.808,6723944.279,3290290.693,1560126.628,2916857.162
"DG(18:1_22:4)",26700000,15700000,20500000,92100000,3.17e+08,82900000
"DG(18:0_22:5)",1.3e+07,9010112.777,10800000,6247774.938,12200000,4215456.773
"DG(18:1_22:5)",27100000,17600000,2.4e+07,60700000,2.09e+08,57800000
"DG(18:0_22:6)",10900000,7347382.135,8284294.832,2698263.878,11100000,3339525.884
"DG(18:1_22:6)",69400000,45900000,47800000,88500000,2.59e+08,88600000
"DG(18:1_24:1)",20600000,11700000,7970834.871,6440736.193,9098024.042,6845646.935
"Hex1Cer(d18:0_16:0)",13100000,9681549.701,12700000,44100000,82300000,38400000
"Hex1Cer(d18:0_18:0)",880847.095,543827.781,693945.2532,3107567.639,6964689.925,2924152.614
"Hex1Cer(d18:0_18:1)",880213.881,341394.912,710251.468,5897549.01,18300000,4509176.832
"Hex1Cer(d18:2_18:0+O)",1448469.493,5091485.663,2.9e+07,2628162.771,24700000,10200000
"Hex1Cer(d18:1_20:0)",8604116.873,7764627.894,6882818.276,14900000,2.8e+07,9693831.301
"Hex1Cer(d18:1_20:1)",7178450.943,6424208.769,8075591.393,1.2e+07,20200000,12300000
"Hex1Cer(d20:2_18:0)",3607095.368,2478009.108,2859459.872,5204476.79,8083150.196,3389428.232
"Hex1Cer(d18:1_22:0+O)",21200000,16500000,14400000,14500000,29800000,10500000
"Hex1Cer(d18:2_22:0)",5823596.393,3403543.189,23400000,6381761.546,13800000,3941573.802
