Metabolites,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
FAD,35796.84355,53255.07821,31482.08923,21117.21639,52394.88665,34355.64501,64158.47828,61851.15457,90140.4164,77597.18725,79502.39621,62348.02583,100878.5542,86861.67784,19043.99297,77529.90616,103525.5196,65470.20928
acetyl-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
propionyl-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
acetoacetyl-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
malonyl-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
succinyl-CoA-posi,N/A,N/A,N/A,N/A,N/A,N/A,18093.03833,32223.70287,39801.29522,N/A,18090.67333,8563.185473,19669.16317,N/A,N/A,N/A,55135.81133,28825.094
sarcosine,3763426.896,2828507.879,3598943.394,3146488.156,3105953.055,3032328.612,3679489.604,4429325.757,4797069.667,5673587.564,4479252.235,3602647.871,4980881.001,5190420.454,3314370.656,5668962.687,5119158.492,5419210.334
putrescine,6874532.894,2802210.776,1583868.891,3580439.333,1156348.076,1931667.121,3400037.791,5731921.153,5096406.478,5781100.135,1815038.329,1113407.925,3924585.382,2256417.846,844857.7254,4149834.85,19723839.23,2235325.546
spermidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
spermine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-acetyl spermine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-acetyl spermidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nicotinamide Riboside,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adenylosuccinate,10242.02667,14794.42527,29879.97333,25035.68954,43278.76833,38546.77994,68909.55585,33888.87333,74948.00359,141968.6345,164156.9442,85944.88833,141957.9378,99901.83193,11021.68833,218557.5333,222886.2704,146004.0035
cholesterol,59743.64458,37656.39178,31581.57016,32638.80149,10226.26,23440.28345,N/A,8408.956999,14452.72459,8292.712161,N/A,5493.896667,17512.6442,11302.26708,N/A,N/A,N/A,3918.805
arginosuccinic acid,50392.01939,60224.50825,65206.64025,12014.38321,18086.69732,12200.20023,5308.981974,N/A,N/A,N/A,N/A,N/A,N/A,13035.57202,N/A,N/A,N/A,30216.72037
phosphocreatine,1705001.885,1225031.335,1557360.437,798465.3188,1204323.603,854855.6027,1225070.914,1299977.483,2089959.496,1834678.627,2307041.857,1473848.841,1689058.071,1946676.423,799202.9306,2245066.313,2285771.989,1990074.859
retinoic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-acetyl-L-alanine1,69369715.5,55353068.37,56437990.92,50206272.25,54358721.28,44132393,80271386.67,91548155.84,102577900.8,109195833.8,116806704.2,81113644.13,112437393.3,107071927.2,64088243.87,110135957.3,98315618.21,104919661.5
HMG-CoA_pos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cysteine sulfinate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
