"MG(18:3)",37800000,51900000,48500000,53900000,33300000,28300000,26500000,22700000,27700000,19400000,"MG(18:3e)","MG"
"MG(18:4)",11700000,29700000,2.4e+07,2247181.545,3192526.191,9891760.065,9865090.15,4843019.713,1.3e+07,12800000,"MG(18:4)","MG"
"PA(18:0)",18600000,13800000,16200000,14700000,9870892.918,9134797.942,11500000,8661610.323,1.1e+07,13600000,"PA(18:0e)","PA"
"PA(28:6)",812405.02,3809799.751,954204.712,1360090.454,486401.451,1710316.763,2085270.803,1882404.239,1763958.315,1335183.717,"PA(28:6)","PA"
"PA(34:0)",25200000,33800000,24800000,35200000,28800000,69200000,41700000,30900000,59300000,44800000,"PA(34:0)","PA"
"PA(34:1)",242073.3962,8196488.388,7719728.867,6214129.431,6899529.309,20700000,11300000,9105143.001,19600000,3901747.204,"PA(16:0_18:1)","PA"
"PA(36:0)",2227314.937,3435921.973,3579449.089,4159315.263,3772283.052,5702180.937,5136851.919,2885280.225,5732066.559,5792538.865,"PA(18:0_18:0)","PA"
"PA(36:6)",4207768.827,7955084.541,5961057.56,4568317.126,4180036.045,3184558.53,1896202.847,2857440.745,4372499.626,7338659.844,"PA(36:6e)","PA"
"PA(38:1)",10900000,19800000,19700000,14400000,17300000,21100000,7369544.456,5382640.184,18100000,15400000,"PA(20:0_18:1)","PA"
"PA(38:2)",1.45e+08,2.66e+08,2.39e+08,2.04e+08,2.19e+08,1.88e+08,9.4e+07,91700000,2.13e+08,1.71e+08,"PA(20:0_18:2)","PA"
"PA(38:4)",1.34e+08,2.58e+08,2.21e+08,1.69e+08,2.11e+08,5.13e+08,2.25e+08,1.63e+08,4.19e+08,2.69e+08,"PA(18:0_20:4)","PA"
"PA(38:5)",14700000,32800000,27300000,20500000,22700000,6130958.559,4644304.171,1535911.192,9781270.371,16500000,"PA(16:0_22:5)","PA"
"PA(38:6)",3494785.289,1322206.639,5726374.21,1337242.786,3625934.266,8294788.041,7712948.342,5287960.18,4752362.111,3871694.286,"PA(16:0_22:6)","PA"
"PA(40:5)",32200000,43900000,41300000,35500000,35200000,71800000,43100000,2.5e+07,52300000,41600000,"PA(18:0_22:5)","PA"
"PA(42:6)",65800000,1.17e+08,1.46e+08,1e+08,1.02e+08,63400000,36200000,40500000,1.09e+08,1.26e+08,"PA(20:0_22:6)","PA"
"PA(44:4)",7.01e+08,6.89e+08,8.17e+08,7.57e+08,8e+08,8.89e+08,8.31e+08,9.21e+08,8.53e+08,8.42e+08,"PA(44:4)","PA"
"PA(44:6)",54300000,75500000,74100000,79300000,42800000,40900000,38700000,37600000,92300000,1.64e+08,"PA(44:6)","PA"
"PA(46:4)",2.43e+08,2.71e+08,3.02e+08,2.65e+08,2.42e+08,2.84e+08,2.63e+08,2.64e+08,2.73e+08,2.68e+08,"PA(46:4)","PA"
"PA(46:6)",1.82e+08,2.19e+08,1.98e+08,1.94e+08,1.87e+08,1.93e+08,2.23e+08,1.57e+08,1.64e+08,1.73e+08,"PA(46:6)","PA"
"PA(46:7)",2.02e+08,2.56e+08,2.39e+08,2.45e+08,2.43e+08,1.47e+08,1.6e+08,1.31e+08,1.33e+08,1.52e+08,"PA(24:1_22:6)","PA"
"PC(18:0)",16200000,19100000,5941512.306,24600000,8068511.732,46100000,22800000,10600000,36900000,2e+07,"PC(18:0)","PC"
"PC(20:0)",9866154.477,9963590.784,4079414.696,12600000,2758508.128,49100000,14800000,7732873.041,21400000,18400000,"PC(20:0)","PC"
"PC(20:1)",5141537.435,8119419.207,6233611.942,9621967.408,4353302.705,1.1e+07,7377389.748,5359214.624,11500000,6458321.454,"PC(20:1)","PC"
"PC(20:2)",17100000,22700000,12500000,28600000,8835330.317,29200000,13300000,8789844.008,29200000,18300000,"PC(20:2)","PC"
"PC(22:0)",3876442.968,6274082.78,17900000,8367076.914,3695668.851,4411090.404,5736236.091,4590505.446,7535004.657,8599510.984,"PC(22:0)","PC"
