Metabolite.name,Sample191,Sample197,Sample428,Sample433,Sample464,Sample270,Sample429,Sample430,Sample439
TG 36:0|TG 10:0_12:0_14:0,14585,2574,233464,21759,12218,86249,208905,1661067,2266
TG 36:0|TG 12:0_12:0_12:0,154059,5695,4463028,732916,67566,660749,825294,26806682,74220
TG 38:0|TG 12:0_12:0_14:0,344356,50943,4213192,753884,172490,611488,1877841,27675790,97859
TG 40:0|TG 8:0_16:0_16:0,836154,223547,1828669,458915,286484,1512480,6878737,20888450,396514
TG 40:1|TG 10:0_14:0_16:1,483269,34448,18704662,1758886,50324,2079024,3481273,2109228,75036
TG 42:0|TG 10:0_16:0_16:0,315693,314044,41667,2786808,80629,33196,535728,256428,105693
TG 42:1|TG 8:0_16:0_18:1,1770964,937134,594134,355118,397719,276799,8960229,407338,1401364
TG 44:0|TG 12:0_14:0_18:0,267399,68211,318296,460842,397694,222006,324132,9402423,228796
TG 44:1|TG 12:0_16:0_16:1,1337579,199719,62861,2580028,1729980,225510,2957882,202776,102813
TG 46:0|TG 10:0_18:0_18:0,71411,122268,283162,138572,54820,88239,127218,53582,261061
TG 46:1|TG 12:0_16:0_18:1,114980,17801,97907,587484,32183,921974,491153,140852,6190
TG 46:2|TG 10:0_18:1_18:1,139051,765300,101754,393064,105915,159557,79222,247128,646074
TG 46:2|TG 12:0_16:1_18:1,1821351,1879733,339395,5979306,1916809,1802336,5920082,2994087,1177542
TG 46:3|TG 10:0_18:1_18:2,53009,215553,40640,24503,7869,16741,25125,49405,2251038
TG 46:3|TG 12:0_16:1_18:2,248294,216067,385217,924236,403200,698926,2404375,993800,172012
TG 46:3|TG 14:1_14:1_18:1,87482136,62068672,78372944,55515928,94164496,79741656,82859048,91226456,93626880
TG 46:3|TG 14:1_16:1_16:1,422020,217556,2240536,727230,81401,816728,2588274,922076,171580
TG 46:5|TG 8:0_16:0_22:5,27738,124,92073,11122,3423,20395,489083,34190,37401
TG 46:6|TG 10:0_18:3_18:3,167355,208129,100863,98059,97195,126998,97775,138334,1445942
TG 46:8|TG 10:0_18:4_18:4,5216,973241,4573,10405,17438,61482,124599,122932,1290521
TG 48:3|TG 12:0_18:1_18:2,353791,237373,735227,825431,142939,104890,809961,1245528,275617
TG 48:3|TG 14:1_16:1_18:1,349713,434233,3226162,1348105,240371,239360,1224921,637400,326355
TG 48:4|TG 12:0_18:2_18:2,469341,978586,1001796,2180826,336841,429019,2573804,861573,83975
TG 50:1|TG 16:0_18:0_16:1,89113,188488,2621420,760543,126045,110594,371338,323270,38649
TG 50:3|TG 16:0_16:0_18:3,1186562,981781,4001730,6641835,492366,239184,770233,1173371,116306
TG 50:3|TG 16:1_16:1_18:1,9729773,44655524,26186778,75623832,28814884,9594385,37156268,29466584,3438874
TG 50:5|TG 14:0_18:2_18:3,880535,1334836,5294070,4019357,600548,512246,3665780,984109,53390
TG 50:6|TG 16:0_16:3_18:3,179314,166510,404083,358717,19978,183488,1262675,60853,218687
TG 52:0|TG 16:0_16:0_20:0,29004,2861204,45394,54368,593376,8698,85444,633801,6159164
TG 52:1|TG 10:0_24:0_18:1,389425,280413,141794,693459,285183,138741,572347,72889,95611
TG 52:2|TG 16:0_16:0_20:2,5916,320723,564428,6359,6866,5591,175505,108675,2682810
TG 52:2|TG 16:0_18:0_18:2,2174425,82314096,17087644,101458472,44086404,12970419,45159892,7628186,5903644
TG 52:2|TG 18:0_16:1_18:1,1480,12407937,NA,10689,19711,2220,67173,155151,11792226
TG 52:2|TG 8:0_18:1_26:1,1747,23792260,4075,34085,152908,101915,123951,497085,18001996
TG 52:3|TG 16:1_18:1_18:1,3452,92546,11443,4115,1850,4018,44968,60758,977491
TG 52:4|TG 16:0_16:0_20:4,64024,757018,189333,926386,1272173,416118,2354222,140478,37156
TG 52:4|TG 16:0_18:1_18:3,29981,854925,242006,135662,278125,25305,11023,1479644,2196036
TG 52:5|TG 14:0_18:0_20:5,1224,124,961786,1447,169,3347,74003,61956,24162
TG 52:6|TG 14:0_16:0_22:6,74795,191078,189020,438114,30646,55918,179970,89216,41948
TG 52:6|TG 16:0_18:2_18:4,879391,2296350,118118,3309693,346034,234564,2996486,496901,2475946
