"lipidName","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8","QC-1","QC-2","QC-3","QC-4","QC-5"
"TG(4:0/16:1/18:4)",2.1e+07,2.3e+07,2.2e+07,1.8e+07,3.5e+07,2.5e+07,1.9e+07,2.7e+07,2.8e+07,4.1e+07,3.4e+07,3.4e+07,3.1e+07,4.4e+07,2.9e+07,4e+07,7.1e+07,2.9e+07,3.1e+07,3e+07,3.3e+07
"TG(4:0/16:0/19:0)",1.6e+07,1.8e+07,1.4e+07,1.5e+07,1.7e+07,1.5e+07,1.6e+07,1.5e+07,1.4e+07,1.5e+07,1.2e+07,1.3e+07,1.4e+07,1.5e+07,1.3e+07,1.6e+07,1.6e+07,1.8e+07,1.5e+07,1.5e+07,1.5e+07
"TG(12:0/13:0/14:0)",1.2e+07,1.2e+07,2.9e+07,1.2e+07,2.4e+07,4.3e+07,1.3e+07,4.3e+07,5.2e+07,6.8e+07,1.6e+07,4.4e+07,1.2e+07,1.3e+07,1.4e+07,2.5e+07,2.1e+07,2.5e+07,2.6e+07,1.9e+07,2.1e+07
"TG(39:1)",2.6e+07,3.3e+07,2.8e+07,2e+07,2.9e+07,3e+07,2e+07,2.4e+07,2e+07,1.9e+07,2.5e+07,3e+07,2.7e+07,2.5e+07,2.2e+07,3.1e+07,2.4e+07,3.1e+07,2.8e+07,3e+07,2.3e+07
"TG(6:0/15:0/18:1)",2.7e+08,3e+08,2.7e+08,2.8e+08,3.6e+08,2.9e+08,2.5e+08,3.7e+08,2.5e+08,2.2e+08,2.4e+08,2.6e+08,3.5e+08,3.7e+08,2.5e+08,4.1e+08,2.8e+08,2.8e+08,2.7e+08,2.8e+08,2.8e+08
"TG(4:0/17:0/18:2)",2.2e+07,2.2e+07,2e+07,1.9e+07,2.3e+07,2.3e+07,1.9e+07,2.2e+07,2e+07,1.9e+07,1.9e+07,1.9e+07,1.7e+07,2.3e+07,1.8e+07,2.2e+07,2.2e+07,2.4e+07,2e+07,2.3e+07,2.1e+07
"TG(4:0/17:1/18:2)",2.9e+08,1.9e+08,1.1e+08,1.4e+08,4.3e+08,3.3e+08,1.3e+08,1.2e+08,1.3e+08,1.2e+08,2.1e+08,3.1e+08,3.3e+08,3.7e+08,1e+08,3.7e+08,1.1e+08,1.3e+08,1.4e+08,3.3e+08,3.2e+08
"TG(4:0/17:1/18:3)",2.8e+07,3.2e+07,3.5e+07,3.6e+07,4.4e+07,3.6e+07,4e+07,3.8e+07,3.5e+07,4.2e+07,3.9e+07,3.8e+07,4.1e+07,5e+07,4.4e+07,4.5e+07,3.8e+07,4e+07,3.9e+07,3.9e+07,3.7e+07
"TG(12:0/14:0/14:0)",6e+08,5.4e+08,2.7e+09,1.6e+09,2.2e+09,5.6e+09,1e+09,5.5e+09,5.1e+09,5.3e+09,7.6e+08,5.1e+09,6.1e+08,4.4e+08,5e+08,1.1e+09,2.1e+09,2e+09,1.9e+09,2e+09,2e+09
"TG(16:0/8:0/16:0)",2.8e+07,3.7e+07,2.9e+07,3.2e+07,3.7e+07,2.6e+07,2.6e+07,3.8e+07,2.9e+07,2.4e+07,3.1e+07,3.7e+07,3.2e+07,3.2e+07,2.8e+07,4.2e+07,3.7e+07,4e+07,3e+07,3e+07,3.3e+07
"TG(10:0/12:0/18:1)",9.3e+08,9.8e+08,8.8e+08,1.2e+09,9.9e+08,9e+08,7.2e+08,9.4e+08,1e+09,9.7e+08,1e+09,1e+09,9.7e+08,9.4e+08,1.1e+09,1.2e+09,9.7e+08,1.4e+09,9.8e+08,9.5e+08,1.1e+09
"TG(6:0/16:0/18:2)",3.7e+07,1.9e+07,5.9e+07,4.1e+07,5.6e+07,1.3e+08,4.5e+07,1.2e+08,7.5e+07,8.3e+07,1.8e+07,1e+08,2.5e+07,1.9e+07,1.4e+07,5.1e+07,5.6e+07,5.6e+07,4.9e+07,5e+07,6.1e+07
"TG(10:0/12:0/18:2)",5.5e+09,5.9e+09,5.5e+09,5e+09,6.9e+09,5.8e+09,4.8e+09,6.5e+09,7.3e+09,6.4e+09,7.2e+09,8e+09,1e+10,6.1e+09,6e+09,8.7e+09,1e+10,6.2e+09,6.3e+09,6.9e+09,6.2e+09
