"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm29093",13.2082588351126,-0.0570370992964271,0.758401073529553,-0.0752070392397784,0.940049983715169,0.99994115597459
"Pdzd7",44.2703924965892,-0.0415528710574222,0.552796150582013,-0.0751685246246255,0.940080627192539,0.99994115597459
"Grap2",846.802070883492,0.0840424097352046,1.11828636956447,0.0751528517404138,0.940093097073103,0.99994115597459
"Crtap",2915.3524100425,-0.0367122773869089,0.488718057356803,-0.0751195435369517,0.940119598263167,0.99994115597459
"Gm11285",0.514923747045749,-0.216183995089135,2.87848968277413,-0.0751032725192153,0.940132544087072,NA
"Gm6443",0.514923747045749,-0.216183995089135,2.87848968277413,-0.0751032725192153,0.940132544087072,NA
"Rab20",239.168520873646,-0.0450751446605084,0.600184412294351,-0.0751021581653506,0.940133430708828,0.99994115597459
"Slc25a21",8.77380234662525,-0.0712217936955422,0.94836966498368,-0.0750991900365855,0.940135792263828,0.99994115597459
"Gm38300",14.6629838080442,-0.0794877415287987,1.059193849446,-0.075045508969273,0.940178503032995,0.99994115597459
"Gemin8",139.435346003516,-0.0329462397604238,0.439105110216431,-0.0750304175330251,0.940190510404418,0.99994115597459
"Brd9",1116.05876106578,0.0250812630074155,0.334803457553962,0.0749133930415667,0.94028362039559,0.99994115597459
"Ncor2",4514.50025229332,-0.0500400919943246,0.668059259477611,-0.0749036725176947,0.940291354521836,0.99994115597459
"Pafah1b3",550.531190091816,-0.0594374109873571,0.793734164568252,-0.0748832715543848,0.940307586548611,0.99994115597459
"Gm4754",8.85974806630017,-0.124599212423104,1.66451533889329,-0.0748561515245325,0.940329164639178,0.99994115597459
"Prdx1",4613.39646913352,-0.0950044039673602,1.27094041145355,-0.0747512653710534,0.940412617869485,0.99994115597459
"Rnf126",4055.54856343188,0.0525787787890693,0.703417698823209,0.0747475914766313,0.940415541035144,0.99994115597459
"Card6",665.697657104048,-0.0592734672350412,0.793193193167367,-0.0747276549340411,0.940431403730523,0.99994115597459
"Atg10",296.444231030304,-0.0904271944178512,1.21021912365235,-0.0747196872455199,0.940437743302547,0.99994115597459
"Ranbp1",2025.0723966431,0.0310005969374249,0.415011477849674,0.074698167621894,0.940454865627778,0.99994115597459
"AC122273.1",44.9626994842085,0.0357563073489781,0.478705970823176,0.0746936732113286,0.940458441658453,0.99994115597459
"Gm6433",371.543760130482,0.0527045739256459,0.706057150209342,0.0746463284310899,0.940496112163113,0.99994115597459
"Pfdn4",125.88731527249,-0.0956031242700538,1.28113835542205,-0.074623575092761,0.940514216207022,0.99994115597459
"Loxl4",61.3182784281596,0.0459752614685222,0.616580590797756,0.0745648860095282,0.94056091322144,0.99994115597459
"Gm42778",9.06734677575736,-0.073003928353892,0.979477702809742,-0.0745335275570563,0.940585864216468,0.99994115597459
"Zbtb7b",7786.32366065861,0.0476090435823845,0.639179109875161,0.0744846676727015,0.940624740700467,0.99994115597459
"Gm24958",1.51286622570837,0.12341104498689,1.65686987924937,0.0744844519974018,0.940624912307764,NA
"AC151895.1",0.449579713417735,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"B230104I21Rik",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Cntnap4",0.449579713417735,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm13170",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm13687",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm22422",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm26696",0.449579713417735,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm37083",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm37399",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm37559",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm38364",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm43259",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm44283",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm5103",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
"Gm8050",0.435818386422417,0.246733474168116,3.31762829878976,0.0743704393461201,0.940715629631826,NA
