gene_symbol,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
Map1lc3b,44.98,45.07,43.92,79.23,81.1,80.18,139.59,139.53,125.18
Bmp2,0,0.04,0.04,0.02,0,0.04,0,0.07,0.02
Haus7,30.55,30.55,28.38,11.6,10.55,11.9,8.51,7.31,8.45
Thap3,4.98,4.96,5.4,6.09,5.21,5.58,7.55,5.47,6.26
Bcl2l12,11.33,10.14,11.04,12.34,11.08,9.82,8.08,7.95,7.25
Ankrd23,1.43,1.15,1.54,2.27,1.43,2.2,2.02,2.17,2.15
Tlcd2,13.48,11.55,12.24,11.5,14.23,12.15,19.4,17.35,18.28
Capn6,0.31,0.39,0.3,0.08,0.26,0.35,2.55,4.18,2.2
Plk5,0,0.06,0,0.03,0.03,0,0,0.03,0.03
Tmem119,61.87,60.13,58.94,66.66,69.46,81.16,77.18,75.43,77.16
Serp2,1.84,1.17,1.39,0.51,0.63,0.98,1.08,0.89,0.65
Egfl7,1.72,1.65,2.4,8.74,7.54,6.76,1.7,1.9,1.21
Zbtb8a,5.36,5.45,5.54,3.09,3.27,3.12,5.43,4.63,5.19
Mutyh,1.77,1.55,2.27,1.17,1.5,1.12,0.65,0.9,0.78
Map3k12,5.61,5.35,5.88,5.55,6.21,6.39,8.52,8.57,8.1
Phkg2,10.37,7.94,8.26,8.97,8.68,8.33,11.54,11.24,12.34
Hmgb2,67.32,69.12,70.65,76.59,67.31,83.99,8.62,9.41,9.6
Nt5m,7.75,6.06,6.68,7.95,9.48,9.55,7.06,7.2,7.63
Epyc,0.03,0,0,0.18,0.28,0.11,0.8,1.23,0.63
Slc7a15,0.06,0,0,0,0,0,0.04,0,0.14
4930444G20Rik,0.07,0.07,0.07,0.07,0.07,0,0.07,0.03,0.15
Reps1,21.53,20.19,21.13,16.12,15.4,15.6,15.48,16.17,15.28
Zc3h4,18.18,18.36,18.13,18.05,18.57,16.79,12.83,14.5,13.73
Glyat,0.52,0.55,0.14,0.2,0.05,0.14,0.05,0.05,0.05
Ddx3x,75.28,78.69,80.71,100.05,96.74,105.94,61.54,63.79,63.47
Mrps35,11.77,10.79,10.62,11.29,12.87,11.55,11.13,11.68,9.34
Klhdc1,1.13,1.71,1.56,1.85,1.82,1.92,2.6,2.33,2
Ino80e,34.53,33.32,34.81,23.72,26.31,28.53,18.38,17.72,21.8
Ppp1r42,0.04,0.01,0.02,0.04,0.01,0.01,0.09,0.02,0.05
Ccnl1,15.9,15.92,16.96,24.79,23.88,27.91,16.5,17.43,17.93
Pnp,34.53,34.7,32.94,55.73,59.31,55.61,52.21,42.19,47.72
Tmem102,0.34,0.32,0.28,0.35,0.31,0.37,0.12,0.31,0.17
Srp54a,31.38,38.33,37.75,24,25.17,24.84,22.31,24.35,22.94
Calr3,0.83,0.76,1,0.98,1.04,1.28,0.77,1.09,0.72
Catspere2,0.1,0.03,0.03,0.15,0.16,0.09,0.39,0.18,0.27
Pnn,31.79,35.03,35.77,32.48,31.77,33.61,18.85,19.06,19.35
Apln,1.9,1.87,1.78,18.71,18.2,20.91,3.9,3.16,3.79
Peg3,7.51,8.33,7.8,24.84,22.44,19.67,6.09,7.76,5.95
Pgpep1l,0.23,0.59,0.38,0,0.21,0,0.13,0.08,0.06
Bspry,0,0.18,0.05,0,0,0,0.03,0,0
Fbxo22,20.15,18.27,19.33,20.01,19.93,20.8,17.83,15.17,15.94
Rnpc3,7.81,7.59,8.33,7.73,6.22,7.09,5.6,5.25,6.54
Cyr61,496.5,494.38,523.82,368.66,381.5,348.18,298.3,328.29,296.87
Ctla2b,0.52,0.53,0.39,1.75,2.26,2.08,1.34,1.09,1.04
Stox2,5.51,5.6,5.48,8.07,7.66,6.8,5.28,5.32,5.59
Vmn1r32,0,0,0,0.08,0,0.1,0,0,0
Slc8a1,2.16,3.65,2.68,3.02,2.86,2.53,3.77,4.31,4.04
Nagpa,8.78,7.64,9.36,8.86,9.46,8.92,9.5,11.69,11.33
Nufip2,16.39,16.42,16.37,16.73,14.71,14.05,12.76,12.02,11.88
Pygo1,2.48,2.42,2.46,1.76,1.55,1.75,4.72,4.87,4.21
Slc4a1ap,10.46,10.72,10.65,10.16,10.26,11.29,6.72,6.83,7.62
Tmem253,0.27,0.34,0.26,0.26,0.31,0.15,0.21,0.37,0.17
Ubl3,15.5,15.4,15.44,16.3,16.07,17.45,20,19.14,19.05
1300017J02Rik,0,0,0,0,0,0.04,0.03,0.04,0.04
Lrrc1,2.38,2.37,2.81,2.59,2.2,2.58,2.1,2.1,2.09
Limch1,1.49,1.9,1.42,0.15,0.2,0.28,2.28,3.31,3.62
Cd320,11.49,8.86,8.94,26.67,26.56,29.37,11.6,9.39,12.22
Pde1b,1.92,1.73,1.46,0.48,0.29,0.24,0.98,1.33,1.36
Gadd45b,23.98,23.8,21.24,24.03,18.57,22.45,19.01,19.6,20.93
Tnk2,71.84,66.13,71.95,10.94,11.99,10.57,18.84,19.63,19.34
Ccdc36,0.19,0.14,0.21,0.06,0.06,0.02,0.02,0.07,0.02
Plbd2,28.47,24.98,25.65,49.38,51.16,50.83,58.56,56.44,57.53
Sppl2a,14.79,16.28,15.16,22.11,22.77,22.26,23.04,20.58,20.54
Aamdc,4.61,2.93,3.02,6.47,4.6,6.48,10.25,10,9.02
Serinc2,12.87,10.04,11.88,3.64,2.49,4.01,1.8,1.35,1.55
