"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3"
"TG(18:1)",1973187176.12831,2033875359.97329,2504278415.07807,685401137.020969,423861020.80978,735138976.196766
"TG(18:2)",458478873.057889,512599613.345639,657475940.172105,167924955.287294,113169020.760359,661100259.103253
"TG(18:3)",77965268.7674286,44251573.73975,63447542.9966444,29634954.338525,25215049.9791429,136401579.871913
"TG(20:0)",1.33e+08,1.73e+08,2.33e+08,1.17e+08,61700000,1.65e+08
"TG(20:1)",602954725.869273,684764520.981636,927372727.272727,263539646.829091,144807457.452573,270457866.213182
"TG(20:2)",570500000,6.67e+08,832500000,292500000,1.75e+08,3.06e+08
"TG(20:3)",612777777.777778,759908323.97375,986581636.963556,493275083.523375,282825305.110625,470929483.584
"TG(20:4)",599723354.314632,607310526.315789,771578947.368421,296140465.874105,176806356.173789,334747794.8845
"TG(20:5)",398683333.333333,489200000,687533333.333333,245150000,128050000,314383333.333333
"TG(22:0)",9226818.954,26407361.341,19519191.4522667,16536153.9275,1892428.60136667,4307289.02266667
"TG(22:1)",618166666.666667,574334549.671286,884745012.613571,110071428.571429,65638450.5502857,92283333.3333333
"TG(22:2)",5.27e+08,5.67e+08,7.65e+08,1.16e+08,68900000,1.04e+08
"TG(22:3)",357566666.666667,520666672.408667,705725281.316667,2.99e+08,180150000,2.42e+08
"TG(22:4)",488806250,510706615.0634,675928614.82975,353020292.749062,209360000,373973333.333333
"TG(22:5)",781146666.666667,872880000,1147286666.66667,467920313.283867,257375979.334133,527883339.391667
"TG(22:6)",161495809.628832,189966462.924,270233782.100136,102256503.6943,56429314.6494545,136278449.398286
"TG(24:0)",32300000,36900000,46150000,48200000,7355367.227,424293.19325
"TG(24:1)",50136225.9195,60668369.5398,81283017.659,66460000,13865001.1142,11510337.97675
"TG(24:2)",28166666.6666667,37366666.6666667,50300000,34959821.81,8532197.13296667,12379482.0156667
"TG(26:1)",18987532.7463333,84066666.6666667,85333333.3333333,156966666.666667,8190927.25736667,3929655.55526667
"TG(4:0)",12528668.6916667,5686965.46975,8894668.48411667,1278050.42441667,1192754.23236667,11416899.01408
"TG(6:0)",28416666.6666667,318502.86714,693622.190583333,300064.110925,494516.51775,1565628.12535
"TG(8:0)",17670332.72025,10819326.1971111,6005183.93105833,2515036.1489,1439664.40319,18584417.3200182
