"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1+2i_1","COS7OADGAT1+2i_2","COS7OADGAT1+2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"PC(22:5)",246077555.247,262050000,373950000,425284719.0095,186322451.2165,518811295.2495,293184692.325,544021492.8825,312777980.5925,278385023.931,454099848.366,478377597.709
"PC(22:6)",38450000,49150000,66050000,99700000,55450000,109550000,69700000,87257245.2205,76400000,31755737.901,63100000,59672448.7065
"PC(24:1)",6950000,12600000,12900000,5150000,6600000,1e+07,5100000,2243433.437,6100000,2954482.576,5e+06,2660230.717
"PC(26:1)",19550000,20350000,21050000,8300000,15950000,1608118.865,1663124.9475,10400000,5400000,14250000,32250000,27350000
"PC(8:0)",11800000,7400000,11150000,20950000,8250000,20050000,12700000,17800000,15050000,8350000,13950000,16350000
"PE(14:0)",13337592.933,7748444.818,27701819.7375,7576997.7855,9926226.7695,37175030.3675,17424461.0095,31392653.891,7577077.644,12181260.97,29045126.2835,14858984.383
"PE(14:1)",3610016.7815,5392328.2175,5560016.311,4205616.1755,5015481.745,7309885.341,6639061.6255,994726.7866,6398794.16,3928964.6955,6801653.5715,4083671.3705
"PE(15:0)",6561324.705,10296646.093,10798314.2575,5802191.3845,5852366.881,9507894.32,9327544.523,4444961.503,8040725.0025,5720816.661,7596436.1625,6815713.428
"PE(16:0)",1279221592.4445,1263241841.47,1856204156.4295,1936654407.072,857564194.544,2242719815.143,1234037984.23255,2459709782.543,1219051681.5365,1212801031.774,1953726776.6375,2231584700.618
"PE(16:1)",352099069.9655,476035482.7655,551733167.6895,404234016.4857,341087560.784,605670801.1363,480229832.264,277038944.396,465894633.5799,364534239.2935,521345883.233,375115764.13525
"PE(16:2)",1112909.1775,1755092.559,1955972.3875,1542846.908,1326517.479,2188014.0445,1523044.739,756012.546,2530006.2315,1652865.618,2719589.1315,1557833.1585
"PE(17:0)",69833508.6335,70431383.1015,102147423.062,104776213.103,52827043.102,131473745.502,71521259.4115,136463567.258,77192962.641,69499136.2225,112325326.422,123690889.71
"PE(17:1)",12750000,12750000,19750000,18550000,8422513.203,28050000,11192786.2465,28900000,11374762.3195,12050000,20500000,25550000
"PE(18:0)",1468998300.9145,1382508903.5555,2037858390.08715,2192422579.1725,1022450088.7575,3037261249.146,1357310386.6495,3160290883.134,1426622486.4685,1385723329.8645,2245764365.8535,2558882318.9315
"PE(18:1)",5047412830.41035,5236204593.409,7900597171.5,7207272988.87635,3595137001.36085,8688757060.1835,4568046174.23555,8848640303.896,4854861191.14055,4906870703.21465,8352718774.84945,9424699977.6059
"PE(18:2)",429914469.1625,647379170.0337,746359977.87265,509939388.34,462883231.5155,720533929.9395,536736269.649,305672974.0485,530215209.632,413281781.068,604366968.5465,378292169.215
"PE(18:3)",766836.5055,1050679.734,1152182.0995,487999.00035,572254.4595,650402.361,549072.5005,103618.5495,328727.75595,519590.96,513619.1915,477007.07355
"PE(19:0)",8782537.9695,12950000,16100000,8597850.4285,6891985.3095,9211250.94,11050000,5970521.59,10154391.077,7345215.379,10294428.8595,7893973.918
