"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","QC-1","QC-2","QC-3","QC-4","QC-5","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"LPE(20:5)",1736811,1382296,936881,984486,1727585,620608,1505859,929772,868232,858946,787641,342042,753232,481804,215337,483086,567579,412099,738431,621253,773533
"LPE(22:4)",4258793,3547176,1933332,1728956,2835515,665266,535947,2401546,1594464,1606296,1740756,727034,1565126,2110840,550544,950783,1379211,889378,2584493,1510819,1959174
"LPE(22:5)",6565035,4546801,1812726,3615753,4045875,1799292,3375820,3373262,2900199,1742256,2772210,3072751,2933842,2516862,1614779,2959972,1977535,3010154,4476433,4436710,3051380
"LPE(22:6)",6.1e+07,3.9e+07,4.5e+07,4.6e+07,5.7e+07,3.3e+07,6.4e+07,4.4e+07,3.3e+07,3.5e+07,3.4e+07,3.3e+07,3.2e+07,1.1e+07,2.1e+07,1.9e+07,2.2e+07,2.1e+07,2.8e+07,3.1e+07,2.3e+07
"LPG(18:1)",1194605,1093264,808517,1198945,1356746,526199,1673246,955094,795911,657728,585462,305198,596663,753438,395561,501191,436273,526112,587587,971716,535208
"LPG(18:2)",904444,578965,758920,645890,783920,541118,1104725,794196,683122,703674,716830,250650,579388,565107,428169,460390,341445,363470,475300,576216,427463
"LPI(16:0)",2072207,1260118,1598188,1070836,1801424,429951,1263933,1080511,1109343,1169547,1044236,364181,980748,1024843,256522,478344,581968,500513,872110,747912,681893
"LPI(18:0)",1.5e+07,1e+07,1.2e+07,1.1e+07,1.2e+07,5169353,1.5e+07,1.1e+07,9585163,9861011,8990557,3976762,8409514,6124951,2364198,4547496,3940174,4978134,7108325,7638972,4976406
"LPI(18:1)",1918127,687346,1532354,1633057,1531479,252734,1613374,836877,862007,870379,842844,298698,876276,836374,283913,308506,488902,573712,767479,648682,669463
"LPI(20:4)",2688935,1269028,1529818,1496038,1979678,1416198,2538858,1394282,1553914,1627919,1467672,606283,1315948,587281,873491,1218223,877608,913026,941125,1413769,1008197
"LPS(18:0)",4964214,3056969,4383969,4389018,3953896,2705000,3552805,2908237,3183692,3535361,3294172,4012217,3149069,5772196,2584896,4188444,3617177,5001870,4171200,5904812,4127788
"LPS(20:4)",533696,321199,293285,370196,467461,290590,393310,347307,401404,459939,333998,130875,374904,243907,260389,326949,292695,374855,411434,429776,219039
"LPS(22:6)",1541351,874064,1090235,940632,999855,801602,1302410,864093,1046720,962460,881836,383734,911038,359468,574966,661156,690076,610753,679186,948017,742827
"PA(18:0)",17703368.5,3.4e+07,9425891.5,18189757,25863816,7350667.5,20862516,28500000,11938645.5,12581489,12258904.5,4515407,12319790.5,13593649.5,3572201,8661165.5,9886103,20029662,8559330,25457343,10388785
"PA(18:1)",3628500,6e+06,2031810,3398209,5e+06,1529014,4064907,5500000,2834338,2617126,2546060.5,1275990,3036516,4491501,709712,1662228.5,2333063.5,4359531.5,2151096.5,5500000,2649207
