"subclass","DGAT_2i_001","DGAT_2i_002","DGAT_2i_003","OA_001","OA_002","OA_003"
"ChE(20:2)",25500000,63500000,55400000,21100000,23400000,31400000
"ChE(20:3)",1.14e+08,2.48e+08,2.15e+08,1.08e+08,1.16e+08,1.31e+08
"ChE(20:4)",3.98e+08,3.07e+08,2.92e+08,5.35e+08,4.49e+08,4.71e+08
"ChE(20:5)",60800000,1.12e+08,96900000,5.2e+07,63100000,66100000
"ChE(22:3)",2779035.101,12400000,11800000,5790814.698,4993985.459,7249822.778
"ChE(22:4)",25100000,84700000,63700000,22300000,25500000,29100000
"ChE(22:5)",1.22e+08,3.05e+08,2.43e+08,1.08e+08,1.24e+08,1.32e+08
"ChE(22:6)",1.82e+08,3.3e+08,3.03e+08,1.49e+08,1.83e+08,1.94e+08
"DG(16:2)",27800000,40200000,50400000,1.16e+08,79200000,99700000
"DG(32:0)",18200000,15700000,13200000,19700000,22300000,31100000
"DG(32:1)",35122244.562,29801555.104,35700000,19187002.35,34023223.254,47500000
"DG(32:3)",906055.56,415275.903,530248.365,3438570.038,734387.334,887787.9099
"DG(34:0)",35800000,31800000,28300000,39700000,51700000,74800000
"DG(34:1)",2.96e+08,2.61e+08,2.36e+08,3.25e+08,2.82e+08,3.24e+08
"DG(34:2)",6.15e+08,5.1e+08,4.32e+08,8.2e+08,5.87e+08,7.4e+08
"DG(34:3)",5220367.397,2772499.1122,5130116.5772,2453027.0384,3088335.167,20482663.878
"DG(34:4)",824710.9956,1707402.868,734812.399,6235751.956,1880561.558,900084.5226
"DG(36:0)",30300000,28600000,24600000,31600000,35800000,49400000
"DG(36:1)",5.03e+08,4.43e+08,3.95e+08,5.93e+08,4.42e+08,5.53e+08
"DG(36:2)",3.26e+09,2.565e+09,2.304e+09,3.25e+09,3.48e+09,3.663e+09
"DG(36:3)",239953479.923,323401714.018,286717276.178,725569140.112,458571558.645,460606832.118
"DG(36:4)",167753515.083,151536960.743,127027847.766,295430574.5719,146856466.281,78272849.841
"DG(36:5)",2.53e+08,2.43e+08,2.87e+08,2.97e+08,2.53e+08,3.22e+08
"DG(36:6)",2.2e+07,17600000,14900000,20500000,18200000,15600000
"DG(38:1)",43100000,36500000,33100000,5.6e+07,43200000,50300000
"DG(38:2)",286100000,262200000,240300000,3.4e+08,304800000,3.35e+08
"DG(38:3)",55200000,48200000,39600000,66800000,52900000,62800000
"DG(38:4)",146600000,130600000,113300000,128200000,118100000,144700000
